VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/2/2016 17:25,3/2/2016 17:37,1,2.32,-73.99001312,40.73820877,1,N,-73.96544647,40.75492859,1,10.5,1.0,0.5,1.7,0.0,0.3,14.0
2,3/2/2016 21:04,3/2/2016 21:17,1,5.56,-74.00983429,40.72059631,1,N,-73.97784424,40.73418808,1,18.0,0.5,0.5,2.5,0.0,0.3,21.8
1,3/2/2016 23:18,3/2/2016 23:23,1,1.7,-73.97065735,40.79361725,1,N,-73.95484924,40.81526184,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
2,3/1/2016 19:18,3/1/2016 19:33,1,1.98,-73.96115112,40.76504135,1,N,-73.98168945,40.74676895,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8
1,3/1/2016 7:45,3/1/2016 7:55,1,1.2,-73.97793579,40.73329544,1,N,-73.99047089,40.72492981,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
2,3/10/2016 14:45,3/10/2016 14:55,1,1.18,-73.9894104,40.75260925,1,N,-73.9800415,40.76158142,1,8.0,0.0,0.5,2.64,0.0,0.3,11.44
1,3/1/2016 18:53,3/1/2016 18:56,1,0.4,0.0,0.0,1,N,0.0,0.0,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8
2,3/2/2016 18:20,3/2/2016 18:27,5,1.24,-73.97277832,40.78542328,1,N,-73.95581818,40.77798462,1,6.5,1.0,0.5,1.5,0.0,0.3,9.8
2,3/1/2016 16:17,3/1/2016 16:23,1,0.88,-73.99051666,40.74056244,1,N,-74.00487518,40.74682617,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8
2,3/1/2016 6:45,3/1/2016 6:46,2,0.51,-73.99279785,40.74834824,1,N,-73.99269867,40.74277878,1,3.5,0.0,0.5,1.0,0.0,0.3,5.3
1,3/2/2016 10:09,3/2/2016 10:22,2,1.0,-73.99466705,40.75052643,1,N,-73.98566437,40.76293182,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
1,3/1/2016 8:47,3/1/2016 9:01,1,1.9,-73.99116516,40.75005722,1,N,-73.99221039,40.76899719,1,11.5,0.0,0.5,2.45,0.0,0.3,14.75
1,3/1/2016 17:41,3/1/2016 18:07,1,3.7,-73.9775238,40.73826218,1,N,-73.97808838,40.77722931,1,18.5,1.0,0.5,4.05,0.0,0.3,24.35
1,3/1/2016 8:29,3/1/2016 8:49,1,3.1,-74.00286865,40.74951553,1,N,-74.00345612,40.71553421,1,14.5,0.0,0.5,3.05,0.0,0.3,18.35
1,3/2/2016 21:20,3/2/2016 21:30,2,1.5,-73.9876709,40.74140549,1,N,-73.98468781,40.75759506,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
1,3/3/2016 7:58,3/3/2016 7:58,1,0.0,-73.977005,40.75628281,1,N,0.0,0.0,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
2,3/1/2016 18:16,3/1/2016 18:25,1,1.4,-73.98931122,40.7343483,1,N,-73.97605133,40.72209167,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3
